,Num1,Date1,Amps1,Kilowatts1,ACFM1,Num2,Date2,Amps2,Kilowatts2,ACFM2,Num3,Date3,Amps3,Kilowatts3,ACFM3
74,75.0,2023-04-17 22:06:24,27.2391,12.46,0.0,,,,,,,,,,
75,76.0,2023-04-17 22:06:36,27.2541,12.46,0.0,,,,,,,,,,
76,77.0,2023-04-17 22:06:48,27.2696,12.47,0.0,,,,,,,,,,
77,78.0,2023-04-17 22:07:00,27.2933,12.48,0.0,,,,,,,,,,
78,79.0,2023-04-17 22:07:12,27.3083,12.49,0.0,,,,,,,,,,
79,80.0,2023-04-17 22:07:24,27.3261,12.5,0.0,,,,,,,,,,
80,81.0,2023-04-17 22:07:36,27.3457,12.5,0.0,,,,,,,,,,
81,82.0,2023-04-17 22:07:48,27.3683,12.51,0.0,,,,,,,,,,
82,83.0,2023-04-17 22:08:00,27.3953,12.53,0.0,,,,,,,,,,
83,84.0,2023-04-17 22:08:12,27.422,12.54,0.0,,,,,,,,,,
84,85.0,2023-04-17 22:08:24,27.4433,12.55,0.0,,,,,,,,,,
85,86.0,2023-04-17 22:08:36,27.466,12.56,0.0,,,,,,,,,,
86,87.0,2023-04-17 22:08:48,27.4907,12.57,0.0,,,,,,,,,,
87,88.0,2023-04-17 22:09:00,27.5108,12.58,0.0,,,,,,,,,,
88,89.0,2023-04-17 22:09:12,27.5275,12.59,0.0,,,,,,,,,,
89,90.0,2023-04-17 22:09:24,27.5504,12.6,0.0,,,,,,,,,,
90,91.0,2023-04-17 22:09:36,27.5713,12.61,0.0,,,,,,,,,,
91,92.0,2023-04-17 22:09:48,27.5972,12.62,0.0,,,,,,,,,,
92,93.0,2023-04-17 22:10:00,27.6254,12.63,0.0,,,,,,,,,,
93,94.0,2023-04-17 22:10:12,27.6488,12.64,0.0,,,,,,,,,,
94,95.0,2023-04-17 22:10:24,27.6727,12.65,0.0,,,,,,,,,,
95,96.0,2023-04-17 22:10:36,27.6916,12.66,0.0,,,,,,,,,,
96,97.0,2023-04-17 22:10:48,27.7116,12.67,0.0,,,,,,,,,,
97,98.0,2023-04-17 22:11:00,27.7419,12.69,0.0,,,,,,,,,,
98,99.0,2023-04-17 22:11:12,27.7663,12.7,0.0,,,,,,,,,,
99,100.0,2023-04-17 22:11:24,27.7907,12.71,0.0,,,,,,,,,,
100,101.0,2023-04-17 22:11:36,27.8177,12.72,0.0,,,,,,,,,,
101,102.0,2023-04-17 22:11:48,27.8462,12.73,0.0,,,,,,,,,,
102,103.0,2023-04-17 22:12:00,27.8775,12.75,0.0,,,,,,,,,,
103,104.0,2023-04-17 22:12:12,27.9067,12.76,0.0,,,,,,,,,,
104,105.0,2023-04-17 22:12:24,27.9311,12.77,0.0,,,,,,,,,,
105,106.0,2023-04-17 22:12:36,27.955,12.78,0.0,,,,,,,,,,
106,107.0,2023-04-17 22:12:48,27.9833,12.8,0.0,,,,,,,,,,
107,108.0,2023-04-17 22:13:00,28.0107,12.81,0.0,,,,,,,,,,
108,109.0,2023-04-17 22:13:12,28.0346,12.82,0.0,,,,,,,,,,
109,110.0,2023-04-17 22:13:24,28.0583,12.83,0.0,,,,,,,,,,
110,111.0,2023-04-17 22:13:36,28.0835,12.84,0.0,,,,,,,,,,
111,112.0,2023-04-17 22:13:48,28.1061,12.85,0.0,,,,,,,,,,
112,113.0,2023-04-17 22:14:00,28.1277,12.86,0.0,,,,,,,,,,
113,114.0,2023-04-17 22:14:12,28.1483,12.87,0.0,,,,,,,,,,
114,115.0,2023-04-17 22:14:24,28.1743,12.88,0.0,,,,,,,,,,
115,116.0,2023-04-17 22:14:36,28.1954,12.89,0.0,,,,,,,,,,
116,117.0,2023-04-17 22:14:48,28.221,12.9,0.0,,,,,,,,,,
117,118.0,2023-04-17 22:15:00,28.2511,12.92,0.0,,,,,,,,,,
118,119.0,2023-04-17 22:15:12,28.2775,12.93,0.0,,,,,,,,,,
119,120.0,2023-04-17 22:15:24,28.308,12.94,0.0,,,,,,,,,,
120,121.0,2023-04-17 22:15:36,28.337,12.96,0.0,,,,,,,,,,
121,122.0,2023-04-17 22:15:48,28.364,12.97,0.0,,,,,,,,,,
122,123.0,2023-04-17 22:16:00,28.3848,12.98,0.0,,,,,,,,,,
123,124.0,2023-04-17 22:16:12,28.41,12.99,0.0,,,,,,,,,,
124,125.0,2023-04-17 22:16:24,28.4304,13.0,0.0,,,,,,,,,,
125,126.0,2023-04-17 22:16:36,28.4527,13.01,0.0,,,,,,,,,,
126,127.0,2023-04-17 22:16:48,28.4776,13.02,0.0,,,,,,,,,,
127,128.0,2023-04-17 22:17:00,28.4995,13.03,0.0,,,,,,,,,,
128,129.0,2023-04-17 22:17:12,28.5239,13.04,0.0,,,,,,,,,,
129,130.0,2023-04-17 22:17:24,28.5499,13.05,0.0,,,,,,,,,,
130,131.0,2023-04-17 22:17:36,28.5745,13.07,0.0,,,,,,,,,,
131,132.0,2023-04-17 22:17:48,28.5964,13.08,0.0,,,,,,,,,,
132,133.0,2023-04-17 22:18:00,28.6231,13.09,0.0,,,,,,,,,,
133,134.0,2023-04-17 22:18:12,28.6427,13.1,0.0,,,,,,,,,,
134,135.0,2023-04-17 22:18:24,28.6595,13.1,0.0,,,,,,,,,,
135,136.0,2023-04-17 22:18:36,28.6781,13.11,0.0,,,,,,,,,,
136,137.0,2023-04-17 22:18:48,28.6946,13.12,0.0,,,,,,,,,,
137,138.0,2023-04-17 22:19:00,28.7142,13.13,0.0,,,,,,,,,,
138,139.0,2023-04-17 22:19:12,28.7312,13.14,0.0,,,,,,,,,,
139,140.0,2023-04-17 22:19:24,28.7477,13.15,0.0,,,,,,,,,,
140,141.0,2023-04-17 22:19:36,28.7656,13.15,0.0,,,,,,,,,,
141,142.0,2023-04-17 22:19:48,28.7805,13.16,0.0,,,,,,,,,,
142,143.0,2023-04-17 22:20:00,28.8004,13.17,0.0,,,,,,,,,,
143,144.0,2023-04-17 22:20:12,28.8161,13.18,0.0,,,,,,,,,,
144,145.0,2023-04-17 22:20:24,28.835,13.19,0.0,,,,,,,,,,
145,146.0,2023-04-17 22:20:36,28.8492,13.19,0.0,,,,,,,,,,
146,147.0,2023-04-17 22:20:48,28.8685,13.2,0.0,,,,,,,,,,
147,148.0,2023-04-17 22:21:00,28.8901,13.21,0.0,,,,,,,,,,
148,149.0,2023-04-17 22:21:12,28.913,13.22,0.0,,,,,,,,,,
149,150.0,2023-04-17 22:21:24,28.939,13.23,0.0,,,,,,,,,,
150,151.0,2023-04-17 22:21:36,28.9565,13.24,0.0,,,,,,,,,,
151,152.0,2023-04-17 22:21:48,28.9631,13.24,0.0,,,,,,,,,,
152,153.0,2023-04-17 22:22:00,28.9741,13.25,0.0,,,,,,,,,,
153,154.0,2023-04-17 22:22:12,28.9873,13.25,0.0,,,,,,,,,,
154,155.0,2023-04-17 22:22:24,29.0079,13.26,0.0,,,,,,,,,,
155,156.0,2023-04-17 22:22:36,29.029,13.27,0.0,,,,,,,,,,
156,157.0,2023-04-17 22:22:48,29.0455,13.28,0.0,,,,,,,,,,
