Num,Date,Amps ac2,Kilowatts1,ACFM1
157,2023-04-24 10:00:00,0.975,0.41,0
158,2023-04-24 11:00:00,0.9768,0.41,0
159,2023-04-24 12:00:00,0.9723,0.4,0
160,2023-04-24 13:00:00,0.972,0.4,0
161,2023-04-24 14:00:00,0.9762,0.41,0
162,2023-04-24 15:00:00,0.979,0.41,0
163,2023-04-24 16:00:00,0.9794,0.41,0
164,2023-04-24 17:00:00,0.9821,0.41,0
165,2023-04-24 18:00:00,0.9797,0.41,0
166,2023-04-24 19:00:00,0.9777,0.41,0
167,2023-04-24 20:00:00,0.9768,0.41,0
168,2023-04-24 21:00:00,0.9687,0.4,0
169,2023-04-24 22:00:00,0.9641,0.4,0
170,2023-04-24 23:00:00,0.9569,0.4,0
171,2023-04-25 00:00:00,0.958,0.4,0
172,2023-04-25 01:00:00,0.9571,0.4,0
173,2023-04-25 02:00:00,0.9569,0.4,0
174,2023-04-25 03:00:00,0.9572,0.4,0
175,2023-04-25 04:00:00,0.9564,0.4,0
176,2023-04-25 05:00:00,0.9586,0.4,0
177,2023-04-25 06:00:00,0.9654,0.4,0
178,2023-04-25 07:00:00,0.9693,0.4,0
179,2023-04-25 08:00:00,0.9691,0.4,0
180,2023-04-25 09:00:00,0.9641,0.4,0
181,2023-04-25 10:00:00,0.9663,0.4,0
182,2023-04-25 11:00:00,0.9727,0.4,0
183,2023-04-25 12:00:00,0.9822,0.41,0
184,2023-04-25 13:00:00,0.984,0.41,0
185,2023-04-25 14:00:00,0.9831,0.41,0
186,2023-04-25 15:00:00,0.9814,0.41,0
187,2023-04-25 16:00:00,0.9818,0.41,0
188,2023-04-25 17:00:00,0.9845,0.41,0
189,2023-04-25 18:00:00,0.989,0.41,0
190,2023-04-25 19:00:00,0.9871,0.41,0
191,2023-04-25 20:00:00,0.9892,0.41,0
192,2023-04-25 21:00:00,0.9853,0.41,0
193,2023-04-25 22:00:00,0.9784,0.41,0
194,2023-04-25 23:00:00,0.9687,0.4,0
195,2023-04-26 00:00:00,0.9713,0.4,0
196,2023-04-26 01:00:00,0.9656,0.4,0
197,2023-04-26 02:00:00,0.9663,0.4,0
198,2023-04-26 03:00:00,0.9659,0.4,0
199,2023-04-26 04:00:00,0.9623,0.4,0
200,2023-04-26 05:00:00,0.9613,0.4,0
201,2023-04-26 06:00:00,0.9675,0.4,0
202,2023-04-26 07:00:00,0.9679,0.4,0
203,2023-04-26 08:00:00,0.4624,0.19,0
204,2023-04-26 09:00:00,127.1123,70.45,0
205,2023-04-26 10:00:00,145.4008,80.59,434
206,2023-04-26 11:00:00,147.1254,81.55,434
207,2023-04-26 12:00:00,145.7529,80.78,434
208,2023-04-26 13:00:00,142.183,78.81,434
209,2023-04-26 14:00:00,138.3086,76.66,0
210,2023-04-26 15:00:00,136.9188,75.89,0
211,2023-04-26 16:00:00,138.8356,76.95,0
212,2023-04-26 17:00:00,139.3045,77.21,0
213,2023-04-26 18:00:00,138.6705,76.86,0
214,2023-04-26 19:00:00,138.2649,76.63,0
215,2023-04-26 20:00:00,137.325,76.11,0
